Sr.,Year,Institute,Program,Duration,Degree,Category,Pool,Opening,Closing
1451,2022,IIT-Madras,Aerospace Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,7705,7705
1452,2022,IIT-Madras,Aerospace Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-PWD,Gender-Neutral,93 - P,93 - P
1453,2022,IIT-Madras,Aerospace Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,966,966
1454,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,162,207
1455,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,7,7
1456,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,Female-Only,46,46
1457,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,SC,Gender-Neutral,33,53
1458,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,SC,Female-Only,21,54
1459,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,ST,Gender-Neutral,19,24
1460,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,ST,Female-Only,80,87
1461,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,ST-PWD,Gender-Neutral,3,3
1462,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,252,1028
1463,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,GEN,Female-Only,620,2184
1464,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,20,55
1465,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,168,272
1466,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,394,469
1467,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,240,547
1468,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,768,1553
1469,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,17 - P,17 - P
1470,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,OBC-NCL-PWD,Female-Only,29 - P,29 - P
1471,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,SC,Gender-Neutral,186,367
1472,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,SC,Female-Only,408,720
1473,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,ST,Gender-Neutral,70,198
1474,2022,IIT-Madras,Electrical Engineering,4 Years,B.Tech,ST,Female-Only,184,402
1475,2022,IIT-Madras,Engineering Design,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,2353,5374
1476,2022,IIT-Madras,Engineering Design,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,5932,8618
1477,2022,IIT-Madras,Engineering Design,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,720,1144
1478,2022,IIT-Madras,Engineering Design,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Female-Only,2344,2344
1479,2022,IIT-Madras,Engineering Design,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,1314,2294
1480,2022,IIT-Madras,Engineering Design,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,3099,5131
1481,2022,IIT-Madras,Engineering Design,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,1009,1653
1482,2022,IIT-Madras,Engineering Design,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,2040,2289
1483,2022,IIT-Madras,Engineering Design,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,726,991
1484,2022,IIT-Madras,Engineering Design,5 Years,B.Tech + M.Tech (IDD),ST,Female-Only,1279,1279
1485,2022,IIT-Madras,Engineering Physics,4 Years,B.Tech,GEN,Gender-Neutral,1062,2090
1486,2022,IIT-Madras,Engineering Physics,4 Years,B.Tech,GEN,Female-Only,3807,7936
1487,2022,IIT-Madras,Engineering Physics,4 Years,B.Tech,GEN-EWS,Gender-Neutral,628,773
1488,2022,IIT-Madras,Engineering Physics,4 Years,B.Tech,GEN-EWS,Female-Only,1559,1559
1489,2022,IIT-Madras,Engineering Physics,4 Years,B.Tech,OBC-NCL,Gender-Neutral,1101,1417
1490,2022,IIT-Madras,Engineering Physics,4 Years,B.Tech,OBC-NCL,Female-Only,3448,4723
1491,2022,IIT-Madras,Engineering Physics,4 Years,B.Tech,SC,Gender-Neutral,763,1274
1492,2022,IIT-Madras,Engineering Physics,4 Years,B.Tech,SC,Female-Only,971,1751
1493,2022,IIT-Madras,Engineering Physics,4 Years,B.Tech,ST,Gender-Neutral,656,763
1494,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,827,2786
1495,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,GEN,Female-Only,2783,7823
1496,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,104,124
1497,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,406,669
1498,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,1134,1274
1499,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,573,1258
1500,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,1965,3765
1501,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,25,34
1502,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,60,60
1503,2022,IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,37,88
1504,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,ST,Gender-Neutral,241,426
1505,2022,IIT-Madras,Mechanical Engineering,4 Years,B.Tech,ST,Female-Only,524,643
1506,2022,IIT-Madras,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN,Gender-Neutral,4279,6305
1507,2022,IIT-Madras,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN,Female-Only,9722,11090
1508,2022,IIT-Madras,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1009,1218
1509,2022,IIT-Madras,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,1834,1925
,,,,,,,,,
1511,2022,IIT-Madras,Metallurgical and Materials Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,4964,5222
1512,2022,IIT-Madras,Metallurgical and Materials Engineering,4 Years,B.Tech,SC,Gender-Neutral,1149,1554
1513,2022,IIT-Madras,Metallurgical and Materials Engineering,4 Years,B.Tech,SC,Female-Only,2422,2466
1514,2022,IIT-Madras,Metallurgical and Materials Engineering,4 Years,B.Tech,ST,Gender-Neutral,560,653
1515,2022,IIT-Madras,Metallurgical and Materials Engineering,4 Years,B.Tech,ST,Female-Only,881,881
1516,2022,IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,GEN,Gender-Neutral,5877,7966
1517,2022,IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,GEN,Female-Only,9043,13887
