Sr.,Year,Institute,Program,Duration,Degree,Category,Pool,Opening,Closing
1,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN,Gender-Neutral,9193,13624
2,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN,Female-Only,16138,21674
3,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1907,2171
4,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,3334,3334
5,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,4094,4615
6,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,6261,8015
7,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,SC,Gender-Neutral,1729,2362
8,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,SC,Female-Only,2464,2464
9,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,ST,Gender-Neutral,677,737
10,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,ST,Female-Only,990,990
11,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,13928,14224
12,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,18771,18771
13,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1982,1982
14,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Female-Only,3448,3448
15,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4717,4961
16,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2375,2375
17,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3561,3561
18,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,14571,14813
19,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,22114,22114
20,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,2050,2050
21,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4987,5008
22,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,9188,9188
23,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2621,2628
24,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Female-Only,1473,1473
25,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,14982,15033
26,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,21738,21738
27,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,2186,2186
28,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4734,5176
29,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,1720,1720
30,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3584,3673
31,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,910,910
32,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,GEN,Gender-Neutral,1702,2769
33,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,GEN,Female-Only,3119,5436
34,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,GEN-PWD,Female-Only,74,74
35,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,346,355
36,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,787,787
37,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS-PWD,Gender-Neutral,21,21
38,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,657,859
39,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,1208,2212
40,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,34,34
41,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,SC,Gender-Neutral,280,366
42,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,SC,Female-Only,725,725
43,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,ST,Gender-Neutral,142,204
44,2022,IIT-Bhubaneswar,Computer Science and Engineering,4 Years,B.Tech,ST,Female-Only,225,225
45,2022,IIT-Bhubaneswar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,2821,3240
46,2022,IIT-Bhubaneswar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,5048,5048
47,2022,IIT-Bhubaneswar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,459,459
48,2022,IIT-Bhubaneswar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,1156,1240
49,2022,IIT-Bhubaneswar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,2716,2716
50,2022,IIT-Bhubaneswar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,545,545
51,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN,Gender-Neutral,9193,13624
52,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN,Female-Only,16138,21674
53,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1907,2171
54,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,3334,3334
55,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,4094,4615
56,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,2653,2827
57,2022,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,1190,1190
58,2022,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,2607,2607
59,2022,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,854,854
60,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,5136,6631
61,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,GEN,Female-Only,8389,10729
62,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,829,1140
63,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,1663,1663
64,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,1884,2490
65,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,4126,4801
66,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,SC,Gender-Neutral,1155,1440
67,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,SC,Female-Only,1877,1941
68,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,ST,Gender-Neutral,636,661
69,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,ST,Female-Only,1052,1052
70,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,GEN,Gender-Neutral,3159,4571
71,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,GEN,Female-Only,5949,6884
72,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,178,178
73,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,614,662
74,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,959,959
75,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,GEN-EWS-PWD,Gender-Neutral,11 - P,11 - P
76,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,1318,1701
77,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,2826,3246
78,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,SC,Gender-Neutral,876,1090
79,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,SC,Female-Only,1264,1386
80,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,ST,Gender-Neutral,338,390
81,2022,IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,ST,Female-Only,853,853
82,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,7249,9074
83,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,GEN,Female-Only,14779,17941
84,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,68 - P,68 - P
85,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1314,1492
86,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,2678,2678
87,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,2925,3474
88,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,SC,Gender-Neutral,1497,2013
89,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,SC,Female-Only,2505,2505
90,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,ST,Gender-Neutral,532,978
91,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,ST,Female-Only,1079,1079
92,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,10490,11159
93,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,16897,16897
94,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1684,1684
95,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,3544,4012
96,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,8336,8336
97,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2036,2055
98,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,1058,1058
99,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,5 Years,B.Tech + M.Tech (IDD),ST,Female-Only,1430,1430
100,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,10951,12484
101,2022,IIT-Bhubaneswar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,371,371
102,2022,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,6646,7729
103,2022,IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,5713,6902
104,2022,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,11359,11359
105,2022,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1264,1264
106,2022,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,2653,2827
107,2022,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,1190,1190
108,2022,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,2607,2607
109,2022,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,854,854
110,2022,IIT-Bhubaneswar,Electrical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,5136,6631
111,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4096,4374
112,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,8408,8408
113,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2306,2306
114,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3285,3285
115,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,1025,1025
116,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN,Gender-Neutral,9953,14122
117,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN,Female-Only,18657,18693
118,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,2185,2185
119,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,3442,3442
120,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,4661,5010
121,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,7466,7466
122,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,SC,Gender-Neutral,2170,2429
123,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,SC,Female-Only,3643,3643
124,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,ST,Gender-Neutral,1269,1269
125,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,ST,Female-Only,99 - P,99 - P
126,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,13731,14970
127,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,21645,21645
128,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,2248,2248
129,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,5277,5316
130,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,8961,8961
131,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2538,2538
132,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,1357,1357
133,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,GEN,Gender-Neutral,577,2119
134,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,GEN,Female-Only,2312,4081
135,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,164,164
136,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,236,496
137,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,1220,1325
138,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,698,1211
139,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,2993,3680
140,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,14 - P,14 - P
141,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,SC,Gender-Neutral,275,726
142,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,SC,Female-Only,470,1141
143,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,SC-PWD,Gender-Neutral,8 - P,8 - P
144,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,ST,Gender-Neutral,317,396
145,2022,IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,ST,Female-Only,231,231
146,2022,IIT-Bombay,BS in Mathematics,4 Years,BSc,GEN,Gender-Neutral,552,2158
147,2022,IIT-Bombay,BS in Mathematics,4 Years,BSc,GEN,Female-Only,1248,3895
148,2022,IIT-Bombay,BS in Mathematics,4 Years,BSc,GEN-EWS,Gender-Neutral,372,564
149,2022,IIT-Bombay,BS in Mathematics,4 Years,BSc,OBC-NCL,Gender-Neutral,1372,2029
150,2022,IIT-Bombay,BS in Mathematics,4 Years,BSc,OBC-NCL,Female-Only,1924,1924
151,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,21755,21755
152,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1798,1798
153,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4107,4368
154,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,7954,7954
155,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2321,2321
156,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3317,3317
157,2022,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,1049,1049
158,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,10269,11778
159,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,19294,19294
160,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1724,1756
161,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4096,4374
162,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,8408,8408
163,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2306,2306
164,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3285,3285
165,2022,IIT-Bhubaneswar,Mechanical Engineering with M.Tech. in Manufacturing Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Gender-Neutral,1025,1025
166,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN,Gender-Neutral,9953,14122
167,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN,Female-Only,18657,18693
168,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,2185,2185
169,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,3442,3442
170,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,4661,5010
171,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,7466,7466
172,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,SC,Gender-Neutral,2170,2429
173,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,SC,Female-Only,3643,3643
174,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,ST,Gender-Neutral,1269,1269
175,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,4 Years,B.Tech,ST,Female-Only,99 - P,99 - P
176,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,13731,14970
177,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,21645,21645
178,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,2248,2248
179,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,5277,5316
180,2022,IIT-Bhubaneswar,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,1370,1628
181,2022,IIT-Bombay,Civil Engineering,4 Years,B.Tech,GEN-EWS-PWD,Gender-Neutral,2 - P,2 - P
182,2022,IIT-Bombay,Civil Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,1022,1633
183,2022,IIT-Bombay,Civil Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,2638,4889
184,2022,IIT-Bombay,Civil Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,38 - P,68 - P
185,2022,IIT-Bombay,Civil Engineering,4 Years,B.Tech,SC,Gender-Neutral,253,851
186,2022,IIT-Bombay,Civil Engineering,4 Years,B.Tech,SC,Female-Only,1193,1817
187,2022,IIT-Bombay,Civil Engineering,4 Years,B.Tech,ST,Gender-Neutral,72,257
188,2022,IIT-Bombay,Civil Engineering,4 Years,B.Tech,ST,Female-Only,526,612
189,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,GEN,Gender-Neutral,2,61
190,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,GEN,Female-Only,16,305
191,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,2,5
192,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,5,18
193,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,48,57
194,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS-PWD,Gender-Neutral,2,2
195,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,9,51
196,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,29,136
197,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,1,2
198,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,Female-Only,45,45
199,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,SC,Gender-Neutral,1,23
200,2022,IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,SC,Female-Only,63,107
201,2022,IIT-Bombay,BS in Mathematics,4 Years,BSc,SC,Gender-Neutral,548,742
202,2022,IIT-Bombay,BS in Mathematics,4 Years,BSc,SC,Female-Only,2391,2391
203,2022,IIT-Bombay,BS in Mathematics,4 Years,BSc,ST,Gender-Neutral,427,427
204,2022,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,GEN,Gender-Neutral,1420,2081
205,2022,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,GEN,Female-Only,2571,4591
206,2022,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,GEN-PWD,Gender-Neutral,94,137
207,2022,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,337,461
208,2022,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,934,1145
209,2022,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,683,1173
210,2022,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,2395,3576
211,2022,IIT-Bombay,Chemical Engineering,4 Years,B.Tech,OBC-NCL-PWD,Gender-Neutral,10 - P,13 - P
